,elevation_m,slope_deg,aspect_deg,rain_annual_total,rain_monsoon_total,rain_max_1day,rain_max_3day,rain_max_7day,ndvi_median,ndvi_max,ndvi_amplitude,evi_median,lst_day_mean_c,lst_day_max_c,modis_lc_type1,dist_road_m,log1p_dist_road_m,dist_river_m,log1p_dist_river_m,dist_fault_m,log1p_dist_fault_m,lithology_code,profile_curvature,plan_curvature,tri,twi,valley_depth,relief,ls_factor,soil_type,eq_density_ms5
ndvi_amplitude,0.23744470816986085,0.31051376777239065,0.1587099172278242,0.5692897870487919,0.4484374848369934,0.4196749983950764,0.5052443768272886,0.5151192540945898,0.3216191343633943,0.7861010325154427,1.0,0.17961551815224278,-0.5466249052791985,-0.5691629027392875,-0.36290004733356307,-0.07223259022947151,-0.07223259022947151,-0.05378527924731424,-0.05378527924731424,0.28033014414331586,0.28033014414331586,0.3819206465251364,0.020719014495015512,-0.05721567878943169,0.2323974036902217,0.032687602284932595,0.3178657794611715,0.20566010386773187,0.2308534012201143,0.0044021630340217175,-0.09943432871809572
evi_median,-0.6052132718524169,-0.14818529713884748,0.06347092561441238,-0.05991530279647449,0.1790154162541813,0.08793788930851619,0.0017474509843945223,-0.0468987198374772,0.9401956668934575,0.6259323797720017,0.17961551815224278,1.0,0.42679251116890554,0.31325250735427146,-0.5550042893004493,-0.08776756068963826,-0.08776756068963826,-0.11027495713055986,-0.11027495713055986,-0.11251281714730585,-0.11251281714730585,0.19455845395708296,-0.21627769602455021,0.11578833984952397,-0.25448465635006956,0.12617292958026965,-0.19200416814725435,-0.2857653364236177,-0.26220607354180786,-0.2657293082171308,0.17219552911083227
lst_day_mean_c,-0.8786679222062135,-0.47390440365614017,0.07206693335942257,-0.680706721714755,-0.33404983933305565,-0.41968134770287646,-0.559749200137138,-0.6125831687381643,0.327277087634417,-0.09899121205593507,-0.5466249052791985,0.42679251116890554,1.0,0.9516556989807993,-0.003353190637043325,-0.06636567657608514,-0.06636567657608514,-0.10399407477677515,-0.10399407477677515,-0.24317343266787372,-0.24317343266787372,-0.20453248133235757,-0.2790215157580986,0.23120666293535863,-0.5025463245172678,0.1594597758345144,-0.42395861711972094,-0.5210598349134066,-0.5319011347937597,-0.2507506117540125,0.14471135546703956
lst_day_max_c,-0.7981823493621761,-0.42034692458745154,0.01852104452898284,-0.6887198861266389,-0.38825135958931817,-0.4618932803394088,-0.5845091562620413,-0.62736163006263,0.2236022387220382,-0.17025779192088525,-0.5691629027392875,0.31325250735427146,0.9516556989807993,1.0,0.10667459910330884,-0.06057414702279338,-0.06057414702279338,-0.11689096806797594,-0.11689096806797594,-0.20191247587763791,-0.20191247587763791,-0.25262459662578624,-0.27330538698165324,0.23482450022008533,-0.5082636928662734,0.17927368405718913,-0.36909462375167346,-0.5166942719639618,-0.520535685626843,-0.24781207638363895,0.13272651985558684
modis_lc_type1,0.19662123464483694,-0.027499836214949693,-0.12013684558992226,-0.25244219982620886,-0.3326273282545581,-0.2884602051180008,-0.25370207701428427,-0.22019847816341878,-0.5698851776121547,-0.5521690066411322,-0.36290004733356307,-0.5550042893004493,-0.003353190637043325,0.10667459910330884,1.0,0.052971493811028975,0.052971493811028975,-0.012578847089097941,-0.012578847089097941,0.0640334636046903,0.0640334636046903,-0.3643600452894225,0.037681652304299325,-0.01800319425788084,0.0013087122514723148,-0.007005507908040368,0.0325228676658249,0.018108666242679074,0.025662509634936694,0.034327961317501626,-0.12524639212612634
dist_road_m,0.10859657338192426,-0.12881495256733538,0.20184364340807584,-0.08668250983748489,-0.10482813572929851,-0.03238961554805202,-0.0732732410293795,-0.07909436236556465,-0.12257698534131801,-0.10136995344883913,-0.07223259022947151,-0.08776756068963826,-0.06636567657608514,-0.06057414702279338,0.052971493811028975,1.0,1.0,0.1444603954475046,0.1444603954475046,0.13368456182895702,0.13368456182895702,0.2032272887301953,-0.06648266333200462,0.018361220078987064,-0.04110864878618884,-0.025030809146660806,-0.16321493471562365,-0.04010495878526962,-0.04481430024740652,-0.0675348294837983,-0.09449652950685278
log1p_dist_road_m,0.10859657338192426,-0.12881495256733538,0.20184364340807584,-0.08668250983748489,-0.10482813572929851,-0.03238961554805202,-0.0732732410293795,-0.07909436236556465,-0.12257698534131801,-0.10136995344883913,-0.07223259022947151,-0.08776756068963826,-0.06636567657608514,-0.06057414702279338,0.052971493811028975,1.0,1.0,0.1444603954475046,0.1444603954475046,0.13368456182895702,0.13368456182895702,0.2032272887301953,-0.06648266333200462,0.018361220078987064,-0.04110864878618884,-0.025030809146660806,-0.16321493471562365,-0.04010495878526962,-0.04481430024740652,-0.0675348294837983,-0.09449652950685278
dist_river_m,0.19953899469399114,-0.2202879295987975,-0.021208432281443104,-0.01381729704030904,0.004957230648059205,0.03975118221684214,0.020910872894989826,0.02390385552894481,-0.18501081438286782,-0.12027913404786662,-0.05378527924731424,-0.11027495713055986,-0.10399407477677515,-0.11689096806797594,-0.012578847089097941,0.1444603954475046,0.1444603954475046,1.0,1.0,0.006671752837076913,0.006671752837076913,-0.042824406137466874,-0.07962349874675492,0.05660534634444566,-0.0745108384718993,-0.011739230611267984,-0.27951181485132065,-0.06606572694022193,-0.054181485884926876,0.19200049281909154,-0.09428173538653242
log1p_dist_river_m,0.19953899469399114,-0.2202879295987975,-0.021208432281443104,-0.01381729704030904,0.004957230648059205,0.03975118221684214,0.020910872894989826,0.02390385552894481,-0.18501081438286782,-0.12027913404786662,-0.05378527924731424,-0.11027495713055986,-0.10399407477677515,-0.11689096806797594,-0.012578847089097941,0.1444603954475046,0.1444603954475046,1.0,1.0,0.006671752837076913,0.006671752837076913,-0.042824406137466874,-0.07962349874675492,0.05660534634444566,-0.0745108384718993,-0.011739230611267984,-0.27951181485132065,-0.06606572694022193,-0.054181485884926876,0.19200049281909154,-0.09428173538653242
dist_fault_m,0.14644967298853406,0.09346859731530424,0.09840506211395328,0.05973977888387574,0.024120885968258947,-0.032938015901160765,0.05623581037241833,0.08542488475979766,-0.03914705034647309,0.12589424917626982,0.28033014414331586,-0.11251281714730585,-0.24317343266787372,-0.20191247587763791,0.0640334636046903,0.13368456182895702,0.13368456182895702,0.006671752837076913,0.006671752837076913,1.0,1.0,0.014108597622485675,-0.09949268083114038,0.045353285150892396,0.03951062925575542,0.11596671211948233,0.16904703726169665,0.009615824886327784,0.021127933123505072,0.05891245362419526,-0.30478863173206305
log1p_dist_fault_m,0.14644967298853406,0.09346859731530424,0.09840506211395328,0.05973977888387574,0.024120885968258947,-0.032938015901160765,0.05623581037241833,0.08542488475979766,-0.03914705034647309,0.12589424917626982,0.28033014414331586,-0.11251281714730585,-0.24317343266787372,-0.20191247587763791,0.0640334636046903,0.13368456182895702,0.13368456182895702,0.006671752837076913,0.006671752837076913,1.0,1.0,0.014108597622485675,-0.09949268083114038,0.045353285150892396,0.03951062925575542,0.11596671211948233,0.16904703726169665,0.009615824886327784,0.021127933123505072,0.05891245362419526,-0.30478863173206305
