feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold
AlphaEarth Embeddings,Northern high mountains / KKH-Kashgar,catboost,1420,1896,601,907,989,0.8676800929296127,0.8591003211192637,0.8037151778716933,0.7877739331026529,0.8258766626360339,0.75303197353914,0.1637549454114496,0.3249999999999999
Conventional + AlphaEarth,Northern high mountains / KKH-Kashgar,logistic_l2,1420,1896,601,907,989,0.9467717104243704,0.9457938069390238,0.7867022361745463,0.7327823691460055,0.9761467889908256,0.5865490628445424,0.167372321162657,0.5349999999999999
Conventional + AlphaEarth,Northern high mountains / KKH-Kashgar,random_forest,1420,1896,601,907,989,0.9123355811389452,0.9073103321250088,0.8215151673925863,0.7934508816120907,0.9251101321585904,0.6945975744211687,0.1714968333849879,0.4449999999999999
Conventional + AlphaEarth,Northern high mountains / KKH-Kashgar,extra_trees,1420,1896,601,907,989,0.8712753184700949,0.8622674157974258,0.7763039520725779,0.7794344473007712,0.7302504816955684,0.8357221609702316,0.1837118580292112,0.4049999999999999
Conventional + AlphaEarth,Northern high mountains / KKH-Kashgar,xgboost,1420,1896,601,907,989,0.940478672230255,0.9443362065342902,0.8789272961785819,0.87248322147651,0.8853575482406356,0.8599779492833517,0.1001176772147446,0.3149999999999999
Conventional + AlphaEarth,Northern high mountains / KKH-Kashgar,lightgbm,1420,1896,601,907,989,0.9147435461521052,0.9231126210821404,0.8138871578543694,0.8178589548452562,0.7575187969924813,0.8886438809261301,0.1193018166014966,0.1399999999999999
Conventional + AlphaEarth,Northern high mountains / KKH-Kashgar,catboost,1420,1896,601,907,989,0.95005702194927,0.9517710588754004,0.8897185467931146,0.886117136659436,0.871931696905016,0.9007717750826902,0.0910525144326765,0.3099999999999999
Conventional,Western Pakistan / Balochistan,logistic_l2,2657,659,1171,337,322,0.8916084560517537,0.902941217656548,0.8073197928377905,0.8235294117647058,0.7798408488063661,0.8724035608308606,0.1342807838225907,0.4699999999999999
Conventional,Western Pakistan / Balochistan,random_forest,2657,659,1171,337,322,0.927668319295206,0.9329969582929885,0.845139797629799,0.8486646884272997,0.8486646884272997,0.8486646884272997,0.1444044553424217,0.3099999999999999
Conventional,Western Pakistan / Balochistan,extra_trees,2657,659,1171,337,322,0.8906961313747533,0.900556070742456,0.8071861695265127,0.7968253968253968,0.856655290102389,0.744807121661721,0.1803466709922155,0.3649999999999999
Conventional,Western Pakistan / Balochistan,xgboost,2657,659,1171,337,322,0.9262399321746504,0.926871114098772,0.8559033857382458,0.8683473389355743,0.8222811671087533,0.9198813056379822,0.1275737978146031,0.2049999999999999
Conventional,Western Pakistan / Balochistan,lightgbm,2657,659,1171,337,322,0.9222588790386492,0.927855121572658,0.8298514477394623,0.8460471567267683,0.7942708333333334,0.9050445103857568,0.1620728322366759,0.05
Conventional,Western Pakistan / Balochistan,catboost,2657,659,1171,337,322,0.923945297380983,0.9286817109956266,0.8481071566802441,0.8520710059171598,0.8495575221238938,0.8545994065281899,0.1237012278776094,0.3449999999999999
AlphaEarth Embeddings,Western Pakistan / Balochistan,logistic_l2,2657,659,1171,337,322,0.9087859631015354,0.9114695563466584,0.836514182501797,0.8363636363636363,0.8544891640866873,0.8189910979228486,0.1226215325412034,0.4699999999999999
AlphaEarth Embeddings,Western Pakistan / Balochistan,random_forest,2657,659,1171,337,322,0.8986950992498663,0.9052972077037016,0.8106327294174023,0.8243626062322946,0.7886178861788617,0.8635014836795252,0.1479105501426997,0.3849999999999999
AlphaEarth Embeddings,Western Pakistan / Balochistan,extra_trees,2657,659,1171,337,322,0.8893322520596421,0.8917580187203503,0.7962428811028992,0.8170563961485557,0.7615384615384615,0.8813056379821959,0.1563109701216875,0.3899999999999999
