feature_set,recall,precision,threshold
Conventional + AlphaEarth Embeddings,1.0,0.476762567183054,0.0172962412860572
Conventional + AlphaEarth Embeddings,1.0,0.4769133459835547,0.0173006501175809
Conventional + AlphaEarth Embeddings,1.0,0.4770642201834862,0.0173301065830804
Conventional + AlphaEarth Embeddings,1.0,0.4772151898734177,0.0173871395492516
Conventional + AlphaEarth Embeddings,1.0,0.4773662551440329,0.0174081827998198
Conventional + AlphaEarth Embeddings,1.0,0.4775174160861304,0.0174294577746646
Conventional + AlphaEarth Embeddings,1.0,0.477668672790624,0.0174568589270283
Conventional + AlphaEarth Embeddings,1.0,0.4778200253485424,0.0175038838484628
Conventional + AlphaEarth Embeddings,1.0,0.4779714738510301,0.0176284209598614
Conventional + AlphaEarth Embeddings,1.0,0.4781230183893468,0.0176540295371095
Conventional + AlphaEarth Embeddings,1.0,0.4782746590548684,0.0176731149340122
Conventional + AlphaEarth Embeddings,1.0,0.4784263959390863,0.0176860568202658
Conventional + AlphaEarth Embeddings,1.0,0.4785782291336083,0.0176914426899071
Conventional + AlphaEarth Embeddings,1.0,0.4787301587301587,0.0176921351748137
Conventional + AlphaEarth Embeddings,1.0,0.478882184820578,0.0177099172485681
Conventional + AlphaEarth Embeddings,1.0,0.4790343074968233,0.0177943974098626
Conventional + AlphaEarth Embeddings,1.0,0.4791865268509692,0.017800342592238
Conventional + AlphaEarth Embeddings,1.0,0.4793388429752066,0.0178404192932711
Conventional + AlphaEarth Embeddings,1.0,0.4794912559618442,0.0178474233955056
Conventional + AlphaEarth Embeddings,1.0,0.4796437659033079,0.0178561594506789
Conventional + AlphaEarth Embeddings,1.0,0.4797963728921413,0.0178764765762881
Conventional + AlphaEarth Embeddings,1.0,0.4799490770210057,0.0179381493648651
Conventional + AlphaEarth Embeddings,1.0,0.4801018783826807,0.0179495962504397
Conventional + AlphaEarth Embeddings,1.0,0.4802547770700637,0.0180776921447865
Conventional + AlphaEarth Embeddings,1.0,0.4804077731761708,0.0181874639064267
Conventional + AlphaEarth Embeddings,1.0,0.4805608667941364,0.0181894311600648
Conventional + AlphaEarth Embeddings,1.0,0.4807140580172139,0.0182754861090959
Conventional + AlphaEarth Embeddings,1.0,0.4808673469387755,0.0183076835878545
Conventional + AlphaEarth Embeddings,1.0,0.4810207336523126,0.0183164946851973
Conventional + AlphaEarth Embeddings,1.0,0.4811742182514358,0.0184702638928834
Conventional + AlphaEarth Embeddings,1.0,0.4813278008298755,0.0185223236310193
Conventional + AlphaEarth Embeddings,1.0,0.4814814814814814,0.0185227320701456
Conventional + AlphaEarth Embeddings,1.0,0.4816352603002236,0.0185515642811935
Conventional + AlphaEarth Embeddings,1.0,0.4817891373801917,0.0185572430799287
Conventional + AlphaEarth Embeddings,1.0,0.481943112815596,0.018597019263742
Conventional + AlphaEarth Embeddings,1.0,0.4820971867007673,0.0186452085698728
Conventional + AlphaEarth Embeddings,1.0,0.4822513591301567,0.0186492930149772
Conventional + AlphaEarth Embeddings,1.0,0.4824056301983365,0.0187447123893303
Conventional + AlphaEarth Embeddings,1.0,0.48256,0.0187809301195829
Conventional + AlphaEarth Embeddings,1.0,0.4827144686299616,0.0188055328386469
Conventional + AlphaEarth Embeddings,1.0,0.4828690361831572,0.0188552446694098
Conventional + AlphaEarth Embeddings,1.0,0.4830237027546444,0.0188706470344716
Conventional + AlphaEarth Embeddings,1.0,0.4831784684396027,0.0188881233318115
Conventional + AlphaEarth Embeddings,1.0,0.4833333333333333,0.0189876264641901
Conventional + AlphaEarth Embeddings,1.0,0.48348829753126,0.0190475058401525
Conventional + AlphaEarth Embeddings,1.0,0.4836433611289288,0.0190670728870073
Conventional + AlphaEarth Embeddings,1.0,0.4837985242220083,0.0191050591515468
Conventional + AlphaEarth Embeddings,1.0,0.4839537869062901,0.0191384592475603
Conventional + AlphaEarth Embeddings,1.0,0.4841091492776886,0.0191739912543915
Conventional + AlphaEarth Embeddings,1.0,0.4842646114322415,0.0192153038296753
Conventional + AlphaEarth Embeddings,1.0,0.4844201734661099,0.0193074688501937
Conventional + AlphaEarth Embeddings,1.0,0.4845758354755784,0.0194413683539906
Conventional + AlphaEarth Embeddings,1.0,0.4847315975570556,0.0194677056511454
Conventional + AlphaEarth Embeddings,1.0,0.4848874598070739,0.0195237471882317
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4847217754905114,0.0195548971959434
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4848777348777349,0.0195938411518681
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4850337946572256,0.0197696120118286
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4851899549259498,0.0198386230452318
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4853462157809984,0.0198549822677275
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4855025773195876,0.0199552447264148
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.485659039639059,0.0200951573885639
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4858156028368794,0.0202093912282024
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4859722670106417,0.0202756482457044
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4861290322580645,0.0203782932409867
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4862858986769925,0.0203992594992596
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.486442866365397,0.0204878616733691
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4865999354213755,0.0205395758103921
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4867571059431524,0.0205491516629777
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4869143780290791,0.0207959264218267
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4870717517776341,0.0208749461933808
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4872292272874232,0.0208784429597193
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4873868046571798,0.0208791731102047
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4875444839857651,0.0208869926591034
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4877022653721682,0.0209123962472808
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4878601489155066,0.0209381282656473
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4880181347150259,0.0209472551959829
Conventional + AlphaEarth Embeddings,0.9993368700265252,0.4881762228701004,0.021005379620217
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4878444084278768,0.0210533221341916
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4880025940337224,0.0210662338931591
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4881608822575413,0.0210834895698043
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4883192731992213,0.0210843658180315
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4884777669587796,0.0212377408206677
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4886363636363636,0.0212668230079025
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4887950633322507,0.0213269275350002
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4889538661468486,0.0213470527102636
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4891127721806955,0.0213633300999192
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4892717815344603,0.021378655776804
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4894308943089431,0.021467874963327
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4895901106050748,0.0214966215799166
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.489749430523918,0.0215306787084324
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4899088541666667,0.0215547913095878
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4900683816346467,0.0215588302705595
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4902280130293159,0.0215790347433042
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4903877484522645,0.0216094911825164
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4905475880052151,0.0216160066334995
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4907075317900228,0.0216328892875057
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4908675799086758,0.0216479405385862
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4910277324632953,0.0216597113858835
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4911879895561358,0.0217094521021091
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4913483512895853,0.0217307213645707
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4915088177661659,0.0217453360786713
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4916693890885331,0.0217775781709366
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4918300653594771,0.0218011767972669
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4919908466819222,0.0218159119469803
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4921517331589274,0.021902604646612
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4923127248936866,0.0219033809675522
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4924738219895287,0.0219162359818306
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4926350245499181,0.0220090123082707
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4927963326784544,0.0220263058345283
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4929577464788732,0.0220264331824822
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4931192660550458,0.0220472342238256
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.49328089151098,0.0220523102613285
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4934426229508197,0.0220550575973328
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4936044604788455,0.0220598480816433
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.493766404199475,0.0220833023464266
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4939284542172629,0.0221048726650937
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4940906106369008,0.0221085449480711
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4942528735632184,0.0221175994152231
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4944152431011827,0.0221339444903269
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4945777193558988,0.0221450481896724
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4947403024326101,0.0221784686383176
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4949029924366984,0.0222170068256042
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4950657894736842,0.0222371806825809
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4952286936492267,0.0222377797452553
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4953917050691244,0.0222430911773464
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4955548238393151,0.0222445307331059
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4957180500658761,0.0222538668276474
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4958813838550247,0.0223011144906164
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.496044825313118,0.0223197647499911
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4962083745466534,0.0223260554146462
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4963720316622691,0.0223279115284032
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4965357967667436,0.0223782770098088
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4966996699669967,0.0223886139267572
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4968636513700891,0.022414971510328
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4970277410832232,0.0224273276246701
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.497191939213743,0.0224367983242751
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4973562458691342,0.0224631580951613
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4975206611570248,0.0224634255201359
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4976851851851852,0.0224740975586644
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4978498180615283,0.0224996680733056
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4980145598941098,0.0225022565964998
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4981794107911287,0.0225179455626749
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4983443708609271,0.0225572497522531
