feature_set,feature_set_name,model,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
conventional_gem_pga,Conventional + GEM PGA,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9639105004172484,0.015115414371904392,0.9499929622663705,0.03171516406729435,0.904244048459119,0.02733045082864809,0.8865571647916447,0.044248972082612276,0.07294941675764319,0.014221591467715946
fused_current,Conventional + AlphaEarth Embeddings,random_forest,Random Forest,0.9676908880023701,0.01799564442306483,0.9498285836095931,0.03999178771244133,0.8977831877746791,0.052215339878735285,0.8812975046966873,0.07173322681569712,0.07696085657075832,0.016740875654238575
conventional_gem_pga,Conventional + GEM PGA,extra_trees,Extra Trees,0.9633132712558382,0.01741056975232048,0.949632317071911,0.0352266093810154,0.7870291352838055,0.07751596445230534,0.7200444329357973,0.1265704843838273,0.10619042829888312,0.02783430098421243
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,extra_trees,Extra Trees,0.9641803598718844,0.01909392839198936,0.9491815693407867,0.037875509682672594,0.7677698319976647,0.08529890542192954,0.6863581202512501,0.14951246385697978,0.11051109777100798,0.027792129931950356
conventional_gem_usgs_seismic,Conventional + GEM PGA + annual USGS seismic factors,catboost,CatBoost,0.9630737814283281,0.017228727125395187,0.9487252272562969,0.03737576856094268,0.8435974793505132,0.062251757047351294,0.8087965138527592,0.09588249546685078,0.08413827469373256,0.02272637382128393
fused_gem_usgs_seismic,Conventional + AlphaEarth Embeddings + seismic factors,extra_trees,Extra Trees,0.9656375037060838,0.019471752985538996,0.9483646459695709,0.038625132438830714,0.829903011566028,0.07734140355408249,0.7878074892309572,0.11011805803670836,0.08702613306811384,0.01848602657207617
conventional_gem_usgs_seismic,Conventional + GEM PGA + annual USGS seismic factors,xgboost,XGBoost,0.9633287904078603,0.01590429829767717,0.9483262692583672,0.036887357612610416,0.8600883316018333,0.06994144455485411,0.831495613953893,0.10725686325812772,0.085342695271125,0.025526424361753036
fused_current,Conventional + AlphaEarth Embeddings,extra_trees,Extra Trees,0.9657108780110797,0.020050337700348937,0.9480306990726352,0.04121118196750831,0.8466529620774897,0.06448653981509797,0.8138868381933815,0.08836364307929603,0.08519116193578541,0.018366416512760952
conventional_gem_usgs_seismic,Conventional + GEM PGA + annual USGS seismic factors,lightgbm,LightGBM,0.9639156910039001,0.015946655830386444,0.9478604835066038,0.0394995292262594,0.7923517501347587,0.0728969276105857,0.7296622964381788,0.12740188421402057,0.09139594126937017,0.023784610646390456
conventional_gem_usgs_seismic,Conventional + GEM PGA + annual USGS seismic factors,random_forest,Random Forest,0.9641570702079548,0.010624615724397896,0.9477088594555788,0.0294178764589163,0.847995044202057,0.048509116113940265,0.8165419468354163,0.07434686791126188,0.09331819399506922,0.01716924554670997
conventional_current,Conventional,extra_trees,Extra Trees,0.9622060582362779,0.018417214500658623,0.9476275667773388,0.03677536109861734,0.7978729748487424,0.07030444165912617,0.7399156898001626,0.10869280582663579,0.10460930798029648,0.027392906172255295
conventional_all_seismic_diagnostic,Conventional + all seismic factors (diagnostic),catboost,CatBoost,0.961728724142945,0.017918956134402194,0.9470698666702457,0.03879306279434319,0.8452043118336252,0.05327285303119759,0.8136286662918047,0.08015996380933942,0.08782514870246469,0.02567821937657225
conventional_all_seismic_diagnostic,Conventional + all seismic factors (diagnostic),xgboost,XGBoost,0.9622246946951524,0.017464383986766183,0.9469304968676073,0.03943770021070057,0.8550748846178567,0.055010860238051115,0.8264865816536439,0.08213602440943638,0.08558034902756939,0.02471477655400303
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,xgboost,XGBoost,0.9615848003372184,0.016510713292643798,0.9466311018560539,0.03713916336808602,0.8566733532940715,0.06570082312927629,0.8264645239410365,0.09594998313254294,0.08595353575331281,0.026125604251419847
conventional_gem_pga,Conventional + GEM PGA,random_forest,Random Forest,0.9621922392292868,0.01224691580876395,0.9464406941199011,0.031655069411435845,0.8513318328259032,0.04235629298354843,0.8221162589946014,0.06678671285357916,0.09016724431843308,0.017075739003668267
conventional_current,Conventional,catboost,CatBoost,0.9603960139924596,0.017072993992471253,0.9464248894080196,0.032400013048449826,0.8371587366648756,0.05555064571963239,0.8018846629225808,0.07793057445062786,0.08917633254789366,0.02934596938839736
conventional_all_seismic_diagnostic,Conventional + all seismic factors (diagnostic),random_forest,Random Forest,0.9630498629565594,0.013843911361467934,0.9455875158488805,0.034726731755968784,0.8430551923147517,0.0544667017623385,0.81007209951468,0.08460528264825364,0.09358598483430375,0.017481899541351563
conventional_current,Conventional,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9614453393907796,0.016389308013259465,0.9453531434692797,0.0350991122891424,0.8947043351085853,0.026323284784628816,0.8780032718487464,0.04148453051641936,0.07457452833154134,0.014698818868534639
