feature_set,fpr,tpr,threshold
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.4582228116710875,0.9792663009037172
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.45954907161803715,0.9792540926216482
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.46419098143236076,0.9789671704599012
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.46551724137931033,0.9788749880231328
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.47413793103448276,0.9782437116632914
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.47546419098143233,0.978195459593484
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.48143236074270557,0.9778882375356374
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.4827586206896552,0.9777637698401856
Conventional + AlphaEarth Embeddings,0.00663716814159292,0.490053050397878,0.977293922442733
Conventional + AlphaEarth Embeddings,0.007190265486725664,0.490053050397878,0.9772019724965714
Conventional + AlphaEarth Embeddings,0.007190265486725664,0.5019893899204244,0.9757538444951692
Conventional + AlphaEarth Embeddings,0.007743362831858407,0.5019893899204244,0.975669532259798
Conventional + AlphaEarth Embeddings,0.007743362831858407,0.5026525198938993,0.9755889430801296
Conventional + AlphaEarth Embeddings,0.007743362831858407,0.5039787798408488,0.9755320887662872
Conventional + AlphaEarth Embeddings,0.007743362831858407,0.5112732095490716,0.9747919750541908
Conventional + AlphaEarth Embeddings,0.007743362831858407,0.5125994694960212,0.97476212139786
Conventional + AlphaEarth Embeddings,0.007743362831858407,0.5172413793103449,0.9744198285299112
Conventional + AlphaEarth Embeddings,0.008296460176991151,0.5172413793103449,0.9743396255588266
Conventional + AlphaEarth Embeddings,0.008296460176991151,0.5218832891246684,0.9740881354911632
Conventional + AlphaEarth Embeddings,0.008296460176991151,0.5238726790450928,0.9740821327429748
Conventional + AlphaEarth Embeddings,0.008296460176991151,0.5324933687002652,0.9733765697573408
Conventional + AlphaEarth Embeddings,0.008296460176991151,0.5338196286472149,0.9733606555073538
Conventional + AlphaEarth Embeddings,0.008296460176991151,0.5344827586206896,0.9731562078467438
Conventional + AlphaEarth Embeddings,0.008296460176991151,0.5371352785145889,0.9730678052172432
Conventional + AlphaEarth Embeddings,0.008849557522123894,0.5371352785145889,0.973055804590366
Conventional + AlphaEarth Embeddings,0.008849557522123894,0.5431034482758621,0.97219134605083
Conventional + AlphaEarth Embeddings,0.009402654867256638,0.5431034482758621,0.9721688218583532
Conventional + AlphaEarth Embeddings,0.009402654867256638,0.5477453580901857,0.9715298273171228
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5477453580901857,0.9715202829765828
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5537135278514589,0.9708983147744038
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5550397877984085,0.9708639113892312
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5576923076923077,0.9707129313753728
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5590185676392573,0.97065829642039
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5603448275862069,0.970640813935698
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5616710875331565,0.9706095415392508
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5649867374005305,0.9701753164844056
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5663129973474801,0.9701550445284044
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5696286472148541,0.96953297278906
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5709549071618037,0.9694869491819392
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5722811671087533,0.9693346790990048
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5736074270557029,0.9692708468152654
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5742705570291777,0.9691705663872278
Conventional + AlphaEarth Embeddings,0.00995575221238938,0.5755968169761273,0.9690925180737138
Conventional + AlphaEarth Embeddings,0.010508849557522125,0.5755968169761273,0.9690584403671652
Conventional + AlphaEarth Embeddings,0.010508849557522125,0.5762599469496021,0.968755848360674
Conventional + AlphaEarth Embeddings,0.010508849557522125,0.5775862068965517,0.9686959883162836
Conventional + AlphaEarth Embeddings,0.010508849557522125,0.5901856763925729,0.9672909457846997
Conventional + AlphaEarth Embeddings,0.011061946902654867,0.5901856763925729,0.9671436019744544
Conventional + AlphaEarth Embeddings,0.011061946902654867,0.5974801061007957,0.966282485031612
Conventional + AlphaEarth Embeddings,0.011615044247787611,0.5974801061007957,0.9660681964651684
Conventional + AlphaEarth Embeddings,0.011615044247787611,0.6014588859416445,0.9654995672923558
Conventional + AlphaEarth Embeddings,0.011615044247787611,0.6027851458885941,0.9654618218145178
Conventional + AlphaEarth Embeddings,0.011615044247787611,0.6107427055702918,0.964695117988416
Conventional + AlphaEarth Embeddings,0.011615044247787611,0.6127320954907162,0.9645949728264552
Conventional + AlphaEarth Embeddings,0.011615044247787611,0.6160477453580901,0.9635490975748028
Conventional + AlphaEarth Embeddings,0.012168141592920354,0.6160477453580901,0.9635279169753164
Conventional + AlphaEarth Embeddings,0.012168141592920354,0.6173740053050398,0.9633679553039552
Conventional + AlphaEarth Embeddings,0.012721238938053098,0.6173740053050398,0.9633598943487532
Conventional + AlphaEarth Embeddings,0.012721238938053098,0.6213527851458885,0.9616293189438788
Conventional + AlphaEarth Embeddings,0.012721238938053098,0.6240053050397878,0.9613073254738204
Conventional + AlphaEarth Embeddings,0.012721238938053098,0.6306366047745358,0.9597732089996264
Conventional + AlphaEarth Embeddings,0.012721238938053098,0.6319628647214854,0.9594166507759162
