feature_set,feature_set_name,held_out_domain,n_test,latent_dimensions,threshold_quantile,explained_variance_ratio,reference_distance_threshold,aoa_coverage,median_dissimilarity_index,p90_dissimilarity_index
conventional,Conventional,Kashgar,846,20,0.975,0.9398618405581785,4.466134442547097,0.933806146572104,0.6889005611981169,0.9366968270745377
conventional,Conventional,Kashgar,846,20,0.99,0.9398618405581785,5.045610943976619,0.9810874704491725,0.609781958620865,0.8291194085458129
conventional,Conventional,Punjab-Sindh,406,5,0.9,0.5462314196591428,0.7942259163374152,0.812807881773399,0.6813604410129804,1.1793516577812144
conventional,Conventional,Punjab-Sindh,406,5,0.95,0.5462314196591428,0.9334851362769419,0.896551724137931,0.5797136982575937,1.0034135678058056
conventional,Conventional,Punjab-Sindh,406,5,0.975,0.5462314196591428,1.063398676754288,0.9507389162561576,0.5088910983708516,0.8808283022734708
conventional,Conventional,Punjab-Sindh,406,5,0.99,0.5462314196591428,1.2865376143191838,0.9901477832512315,0.42062829302194193,0.7280561723653973
conventional,Conventional,Punjab-Sindh,406,10,0.9,0.7729840408254481,1.9687024504221982,0.8152709359605911,0.7340902782218668,1.1076345619410595
conventional,Conventional,Punjab-Sindh,406,10,0.95,0.7729840408254481,2.270736238556799,0.916256157635468,0.6364479084039389,0.9603065469425005
conventional,Conventional,Punjab-Sindh,406,10,0.975,0.7729840408254481,2.5549706451140164,0.9532019704433498,0.565644592563219,0.853474727952646
conventional,Conventional,Punjab-Sindh,406,10,0.99,0.7729840408254481,2.895394288510116,0.9876847290640394,0.4991393867500382,0.7531281265971397
conventional,Conventional,Punjab-Sindh,406,15,0.9,0.8844419250482832,2.935155174268664,0.7832512315270936,0.7963875839552872,1.091289067454815
conventional,Conventional,Punjab-Sindh,406,15,0.95,0.8844419250482832,3.2408450128691344,0.9113300492610837,0.7212690296782391,0.9883541916517335
conventional,Conventional,Punjab-Sindh,406,15,0.975,0.8844419250482832,3.5390944213722517,0.9704433497536946,0.6604856665178569,0.9050628131364891
conventional,Conventional,Punjab-Sindh,406,15,0.99,0.8844419250482832,4.045589415623858,0.9950738916256158,0.5777949509019118,0.7917518126265131
conventional,Conventional,Punjab-Sindh,406,20,0.9,0.938123658363568,3.861238366023832,0.8916256157635468,0.7897372992075089,1.01184467967293
conventional,Conventional,Punjab-Sindh,406,20,0.95,0.938123658363568,4.195923077171943,0.9605911330049262,0.7267444857057175,0.9311356346988886
conventional,Conventional,Punjab-Sindh,406,20,0.975,0.938123658363568,4.511112063844492,0.9901477832512315,0.6759672372628501,0.8660776860153152
conventional,Conventional,Punjab-Sindh,406,20,0.99,0.938123658363568,4.885300977402107,0.9975369458128078,0.6241916256307423,0.7997405923775553
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,5,0.9,0.5925168088829831,0.5621561704355484,0.6048387096774194,0.9269410332160299,1.2828409849381854
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,5,0.95,0.5925168088829831,0.645290091735627,0.7782258064516129,0.8075214978905654,1.1175701976624688
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,5,0.975,0.5925168088829831,0.6990838780893142,0.8679435483870968,0.7453835480750718,1.0315743188666169
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,5,0.99,0.5925168088829831,0.7557319713795742,0.9334677419354839,0.6895111510249622,0.954249658187888
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,10,0.9,0.8070117483095722,1.4804253627918527,0.6733870967741935,0.8943294397864282,1.1899930328410908
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,10,0.95,0.8070117483095722,1.635079428936379,0.8306451612903226,0.809739246864914,1.0774374848012944
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,10,0.975,0.8070117483095722,1.7581865300215944,0.8951612903225806,0.7530418205029679,1.0019959983096398
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,10,0.99,0.8070117483095722,1.9042546122797632,0.9596774193548387,0.6952788649235231,0.9251367206901269
