domain,feature_set_key,feature_set,feature,feature_name,feature_group,mean_abs_shap,mean_shap,median_shap,feature_value_mean,feature_value_median,feature_value_shap_corr,n_domain_samples,domain_relative_importance_percent
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A01,AlphaEarth A01,AlphaEarth embeddings,0.06535867601633072,-0.0653512254357338,-0.06701987236738205,0.009755399187234247,-0.000768935016822,-0.06554942800293855,406,0.7636606318754862
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A08,AlphaEarth A08,AlphaEarth embeddings,0.05587928369641304,0.04236292839050293,0.03858468681573868,-0.280545528042199,-0.28029219806194305,-0.8310552468039452,406,0.6529019817612275
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A18,AlphaEarth A18,AlphaEarth embeddings,0.055323030799627304,0.038022857159376144,0.048060670495033264,-0.032280574126336524,-0.046535948291420895,-0.41706415687224857,406,0.6464026389878851
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A32,AlphaEarth A32,AlphaEarth embeddings,0.055242668837308884,0.019563226029276848,0.01235252059996128,0.09625233185025653,0.0935640111565589,0.7250390061224374,406,0.6454636776951639
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A48,AlphaEarth A48,AlphaEarth embeddings,0.05472373962402344,0.007194517645984888,0.017682604491710663,-0.07843713028375927,-0.0753556340932846,0.8429511246617799,406,0.639400430471227
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A05,AlphaEarth A05,AlphaEarth embeddings,0.052752602845430374,-0.05253667011857033,-0.053814634680747986,0.01999806838775748,0.0354325249791145,-0.36681945736075433,406,0.6163693709455218
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A21,AlphaEarth A21,AlphaEarth embeddings,0.047593098133802414,0.03184843435883522,0.030306871980428696,0.04397111381243527,0.06499039009213445,0.7242996457216418,406,0.5560849394300813
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A52,AlphaEarth A52,AlphaEarth embeddings,0.04655999690294266,0.011256057769060135,0.027981899678707123,0.021236546201010058,0.0246059205383062,-0.51551441774656,406,0.5440140287746608
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A11,AlphaEarth A11,AlphaEarth embeddings,0.04337029904127121,-0.04193388298153877,-0.0439666286110878,0.081949988949678,0.0797231867909431,-0.5178183133702894,406,0.5067451176980766
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A58,AlphaEarth A58,AlphaEarth embeddings,0.04307284578680992,-0.024683672934770584,-0.03246244415640831,-0.12199657954309441,-0.13880814611911768,-0.07001891438769349,406,0.5032696289932783
Punjab-Sindh lowland corridor,alphaearth_embeddings,AlphaEarth Embeddings,A61,AlphaEarth A61,AlphaEarth embeddings,0.04155603423714638,0.0027155810967087746,-0.004530676640570164,-0.07220246867371923,-0.07753941044211385,-0.8171372673847924,406,0.4855469739908625
