segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
1773,10.00000000000002,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.6892966,0.95857674,0.07160702,0.05550003,0.021542741,0.8325561,0.0,0.0,1.0,0.5454545454545454,0.29168126,0.4545454545454546,0.0215427409857511,1.1280106739564375,171
1798,10.000000000000032,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.973665,0.98436195,0.03175598,0.031016838,0.019638583,0.9848404,0.0,0.0,1.0,0.1818181818181818,0.16490012,0.8181818181818181,0.0196385830640792,1.316658574884588,181
1697,9.999999999999888,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.99400187,0.99460423,0.019251883,0.019141445,0.018747153,0.9811827,0.0,0.0,1.0,0.2,0.010561852,0.8,0.0187471527606248,1.3111826944351197,187
1690,9.99999999999996,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.97388065,0.98711663,0.020007933,0.019726425,0.018337104,0.9830211,0.0,0.0,1.0,0.3,0.17312813,0.7,0.0183371044695377,1.303021080493927,191
1793,10.000000000000014,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.78762895,0.95936614,0.07923443,0.06260678,0.017822387,0.9148319,0.0,0.0,1.0,0.5454545454545454,0.34222028,0.4545454545454546,0.0178223866969347,1.2102864222093062,194
1678,9.99999999999999,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.917618,0.96715206,0.048730306,0.046275176,0.017789843,0.9963255,0.0,0.0,1.0,0.4,0.31728762,0.6,0.0177898425608873,1.3063254928588868,195
1664,10.000000000000014,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.9762335,0.9858454,0.018954547,0.018627381,0.017729882,0.9822285,0.0,0.0,1.0,0.5454545454545454,0.078975916,0.4545454545454546,0.0177298821508884,1.277683062986894,196
1662,10.000000000000009,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.9804685,0.9879322,0.013035151,0.012869153,0.012657035,0.9846888,0.0,0.0,1.0,0.1818181818181818,0.050794005,0.8181818181818181,0.0126570351421833,1.3165070002729242,240
1774,7.707682436842686,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.89988804,0.9767928,0.03274139,0.030562222,0.012056184,0.9647511,0.0,0.0,1.0,0.3,0.2413518,0.7,0.0120561840012669,1.284751124382019,244
1652,9.999999999999924,219,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.9526383,0.9918808,0.009026098,0.008952813,0.008321011,0.9927052,0.0,0.0,1.0,0.1,0.20523925,0.9,0.0083210114389657,1.3327052259445191,275
1670,10.000000000000014,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.94689023,0.9591256,0.014511689,0.013782281,0.0065540015,1.0,0.0,0.0,1.0,0.2727272727272727,0.3093849,0.7272727272727273,0.0065540014766156,1.3227272727272728,305
1674,9.999999999999986,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.9556122,0.9701854,0.009676576,0.009385754,0.0053287647,1.0,0.0,0.0,1.0,0.2,0.3231987,0.8,0.0053287646733224,1.33,321
1657,10.000000000000048,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.96998143,0.98319507,0.0049695806,0.004821542,0.003705106,1.0,0.0,0.0,1.0,0.2727272727272727,0.14860831,0.7272727272727273,0.0037051059771329,1.3227272727272728,350
1677,10.000000000000004,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.9256649,0.9746933,0.007977149,0.007600555,0.0032938635,1.0,0.0,0.0,1.0,0.1818181818181818,0.2930383,0.8181818181818181,0.0032938634976744,1.3318181818181818,360
1665,10.00000000000001,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.97771645,0.98451334,0.0034257283,0.003372675,0.0032712063,0.9949812,0.0,0.0,1.0,0.0909090909090909,0.092562705,0.9090909090909092,0.0032712062820792,1.3358903202143582,362
1776,9.999999999999972,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.70006406,0.82616115,0.013596165,0.010043217,0.0032229177,0.912146,0.0,0.0,1.0,0.2,0.32905993,0.8,0.0032229176722466,1.2421459722518922,363
1703,10.000000000000028,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.39519235,0.70677,0.026584636,0.01473515,0.003211275,0.63986385,0.0,0.0,1.0,0.2727272727272727,0.34938702,0.7272727272727273,0.0032112749759107,0.962591121413491,364
1711,9.999999999999984,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.6899158,0.9439484,0.021374512,0.017860735,0.002967818,0.8996776,0.0,0.0,1.0,0.4,0.38760018,0.6,0.0029678179416805,1.209677574634552,372
1647,9.999999999999908,219,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.5727828,0.9816584,0.015516895,0.013962327,0.0025634924,0.75231767,0.0,0.0,1.0,0.2,0.31990358,0.8,0.0025634923949837,1.0823176670074464,388
