label,hazard_type,spatial_block_1deg,longitude,latitude,sample_id,feature_set,feature_set_name,held_out_domain,dissimilarity_index,inside_aoa
1,rockfall,74_35,74.50963889412238,35.857379538371255,3297,conventional,Conventional,Gilgit-Baltistan,0.8802953618584144,True
1,rockfall,74_35,74.6151902751585,35.7495807704042,3298,conventional,Conventional,Gilgit-Baltistan,0.8676791710226693,True
1,rockfall,74_35,74.61294288822755,35.74733338347328,3299,conventional,Conventional,Gilgit-Baltistan,0.7737576252843584,True
1,rockfall,74_35,74.58374915363065,35.489066709558735,3300,conventional,Conventional,Gilgit-Baltistan,1.012977496638928,False
1,rockfall,74_35,74.57925883886983,35.489066709558735,3301,conventional,Conventional,Gilgit-Baltistan,0.9821165182557715,True
1,rockfall,74_35,74.24014420375526,35.410466135289646,3302,conventional,Conventional,Gilgit-Baltistan,0.7675393502511995,True
1,rockfall,74_35,74.21319339698825,35.40372843359789,3303,conventional,Conventional,Gilgit-Baltistan,0.7622056951136842,True
1,rockfall,74_35,74.21319339698825,35.40372843359789,3304,conventional,Conventional,Gilgit-Baltistan,0.7622056951136842,True
1,rockfall,74_35,74.20870308222742,35.40372843359789,3305,conventional,Conventional,Gilgit-Baltistan,0.7182097085050259,True
1,rockfall,74_35,74.20645569529648,35.40372843359789,3306,conventional,Conventional,Gilgit-Baltistan,0.6783854263354541,True
1,rockfall,74_35,74.19971799360472,35.39923811883707,3307,conventional,Conventional,Gilgit-Baltistan,0.948426299373952,True
1,rockfall,74_35,74.1907373640831,35.39923811883706,3308,conventional,Conventional,Gilgit-Baltistan,0.8403658130199528,True
1,rockfall,74_35,74.18624704932226,35.39923811883707,3309,conventional,Conventional,Gilgit-Baltistan,0.8253357451798591,True
1,rockfall,74_35,74.18399966239133,35.39923811883706,3310,conventional,Conventional,Gilgit-Baltistan,0.7878989651458639,True
0,non_landslide,71_32,71.22404838311395,32.55831362397932,133,conventional,Conventional,KPK-AJK,0.6789510157092175,True
0,non_landslide,72_34,72.33122533828036,34.13935032989331,147,conventional,Conventional,KPK-AJK,0.9189523991362546,True
0,non_landslide,72_34,72.41881100117214,34.74795965537498,148,conventional,Conventional,KPK-AJK,0.8854202669531176,True
