feature_set,feature_set_name,model,model_name,fold,n_train,n_test,n_test_pos,n_test_neg,roc_auc,pr_auc,balanced_accuracy,f1,brier,threshold
alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),1,2592,724,399,325,0.9540158087526509,0.9609999686977858,0.8824677077308656,0.895,0.08345049870331826,0.5694699412820232
alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),2,2411,905,532,373,0.9464411699490012,0.9540272877137141,0.8636739301336451,0.8740157480314961,0.0873110404592987,0.6827014198684687
alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),3,2673,643,196,447,0.9048075606081358,0.8057306502627849,0.8056887184403962,0.7329842931937173,0.11690755498422857,0.4486542355795302
alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),4,2846,470,140,330,0.9693506493506494,0.927694710730941,0.9106060606060606,0.863013698630137,0.06474220986456056,0.5159979027057569
alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),5,2742,574,241,333,0.9597024410302418,0.9463875971340848,0.9108133029294855,0.8957055214723927,0.07479003462209777,0.5217583872843712
alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest,1,2592,724,399,325,0.9376363986890301,0.9467614415966769,0.8591170233275496,0.8645833333333334,0.1066046209870737,0.5056125550797567
alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest,2,2411,905,532,373,0.9438257171077827,0.9453602753766355,0.8631347134592513,0.8726554787759131,0.10422770234588294,0.49698413510379674
alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest,3,2673,643,196,447,0.8906999041227229,0.7907507833441854,0.7722515180568872,0.6938775510204082,0.11999764310479469,0.5382840771902261
alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest,4,2846,470,140,330,0.9713203463203463,0.9381344744285159,0.9170995670995671,0.8825622775800712,0.07008083086671675,0.5549478255613329
alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest,5,2742,574,241,333,0.9538958045182112,0.9394009566191602,0.873387910732309,0.8539823008849557,0.08765805754608962,0.5538960023457106
alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees,1,2592,724,399,325,0.936148062463852,0.9447293478294472,0.8181723539618276,0.7965367965367965,0.11058613681725239,0.6221527896111062
alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees,2,2411,905,532,373,0.9475649579713361,0.9498680836476557,0.8447081174786832,0.8380355276907001,0.10090563129177921,0.599620572231568
alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees,3,2673,643,196,447,0.8995913801762316,0.8137909731119585,0.7940921334976944,0.7252124645892352,0.11571070423336985,0.5163300644910616
alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees,4,2846,470,140,330,0.9706493506493507,0.9336273976970807,0.9110389610389611,0.8701754385964913,0.07267104927427016,0.5484443594611768
