feature_set,feature_set_name,outer_fold,n_train_before_buffer,n_train_after_buffer,n_test,n_test_positive,n_test_negative,outer_buffer_km,inner_buffer_km,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold,experiment
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1,2359,2055,657,399,258,20.0,20.0,0.9684191097899788,0.9812909607085515,0.8952614093372967,0.9188514357053683,0.9154228855721394,0.9223057644110275,0.8682170542635659,0.07509620526758527,0.2475618823607676,0.06931674716782352,0.31275142952145935,accessibility_matched_controls_repeat_03
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,2,2039,1711,977,532,445,20.0,20.0,0.9235321449691645,0.9485501985953916,0.8533264340626847,0.8463114754098361,0.9301801801801802,0.7763157894736842,0.9303370786516854,0.10802705665440779,0.3405601638787499,0.03622415131286491,0.5868831590132428,accessibility_matched_controls_repeat_03
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3,2607,2373,409,196,213,20.0,20.0,0.9438296445338699,0.9523825210052547,0.8837668870365047,0.8766404199475065,0.9027027027027027,0.8520408163265306,0.9154929577464789,0.08985977399124577,0.2945985291465003,0.049219803267269595,0.37326188443582237,accessibility_matched_controls_repeat_03
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,4,2595,2379,421,140,281,20.0,20.0,0.9786222674123031,0.9672369827122768,0.9073970513472294,0.8535031847133758,0.7701149425287356,0.9571428571428572,0.8576512455516014,0.06291154449839581,0.23145480031368237,0.08903427520036496,0.32933342149262645,accessibility_matched_controls_repeat_03
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,5,2464,2289,552,241,311,20.0,20.0,0.9608677669410681,0.9562469935181647,0.8687876079038306,0.85451197053407,0.7682119205298014,0.9626556016597511,0.77491961414791,0.08747479289772948,0.29604282647327573,0.08750287986222074,0.28992385976630347,accessibility_matched_controls_repeat_03
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1,1349,1160,281,156,125,20.0,20.0,0.9196410256410257,0.9388097697498935,0.8598461538461539,0.8600682593856656,0.9197080291970803,0.8076923076923077,0.912,0.11534018666884198,0.37602902755999823,0.07216065235744332,0.5340908199033313,inventory_typology_landslide_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,2,968,763,662,376,286,20.0,20.0,0.8894044785002231,0.9276951619832194,0.7995833953280762,0.8304862023653088,0.8207792207792208,0.8404255319148937,0.7587412587412588,0.12998806439525995,0.40554163977833024,0.025999786234996602,0.32084376772305884,inventory_typology_landslide_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3,1440,1327,190,90,100,20.0,20.0,0.9122222222222222,0.9194998062459032,0.8455555555555556,0.8342857142857143,0.8588235294117647,0.8111111111111111,0.88,0.11477623421580038,0.36892912587828447,0.035044406090005704,0.3711579880968441,inventory_typology_landslide_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,4,1424,1347,206,63,143,20.0,20.0,0.968031968031968,0.9301718117255175,0.9123099123099123,0.855072463768116,0.7866666666666666,0.9365079365079365,0.8881118881118881,0.07751740221728048,0.28375355476365677,0.10507530102042094,0.4620770116122856,inventory_typology_landslide_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,5,1339,1262,291,130,161,20.0,20.0,0.9196368848542762,0.9103737177291774,0.7930960344003822,0.7880794701986755,0.6918604651162791,0.9153846153846154,0.6708074534161491,0.12064377213273597,0.3899783714962264,0.08560349847353672,0.305142374316515,inventory_typology_landslide_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1,986,899,400,243,157,20.0,20.0,0.945427380671542,0.9679875556362264,0.8751146758931614,0.9038854805725971,0.8983739837398373,0.9094650205761317,0.8407643312101911,0.09052399502004892,0.29705801198234216,0.0294601180618311,0.3791812820262481,inventory_typology_rockfall_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,2,1069,958,317,156,161,20.0,20.0,0.9710144927536232,0.9767560251498641,0.9210662525879917,0.9196141479099679,0.9225806451612903,0.9166666666666666,0.9254658385093167,0.06063748967145034,0.2215685267824511,0.050734383060470505,0.37467408808820823,inventory_typology_rockfall_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3,1168,1086,218,106,112,20.0,20.0,0.9668126684636119,0.9713414760589681,0.9108827493261455,0.9035532994923858,0.978021978021978,0.839622641509434,0.9821428571428571,0.07618586562406808,0.2568572137815097,0.06430363016310423,0.5024470513377632,inventory_typology_rockfall_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,4,1188,1068,198,77,121,20.0,20.0,0.9612536224106472,0.9560659527517698,0.8766233766233766,0.8421052631578947,0.7659574468085106,0.935064935064935,0.8181818181818182,0.07265840736521098,0.2546511384165335,0.05315129810421387,0.20592228862794998,inventory_typology_rockfall_only
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,5,1133,1080,253,111,142,20.0,20.0,0.9711331049359218,0.9688309246306487,0.8763481791650806,0.8629032258064516,0.781021897810219,0.963963963963964,0.7887323943661971,0.08381362842212413,0.28411561894555054,0.09001143892218241,0.2084914554893409,inventory_typology_rockfall_only
conventional_alphaearth_embeddings_no_road_distance,Conventional + AlphaEarth Embeddings (road-distance ablation),1,2592,2290,724,399,325,20.0,20.0,0.9442066705224601,0.9503838918664864,0.8726662810873337,0.8888888888888888,0.8759124087591241,0.9022556390977443,0.8430769230769231,0.09315225459493039,0.3077001735394648,0.046547580435693035,0.46324479531582,road_distance_ablation
conventional_alphaearth_embeddings_no_road_distance,Conventional + AlphaEarth Embeddings (road-distance ablation),2,2411,2078,905,532,373,20.0,20.0,0.9568173113749521,0.9579058483600653,0.888372069584148,0.9004830917874396,0.9264413518886679,0.8759398496240601,0.900804289544236,0.07510016718929668,0.2609038607739,0.0384665650675931,0.5999906073424354,road_distance_ablation
conventional_alphaearth_embeddings_no_road_distance,Conventional + AlphaEarth Embeddings (road-distance ablation),3,2673,2416,643,196,447,20.0,20.0,0.8996712779071359,0.8100031602613718,0.8102600100442862,0.7294685990338164,0.6926605504587156,0.7704081632653061,0.8501118568232662,0.1140538082934383,0.37508109967872405,0.03631498650920875,0.26207127863224877,road_distance_ablation
conventional_alphaearth_embeddings_no_road_distance,Conventional + AlphaEarth Embeddings (road-distance ablation),4,2846,2644,470,140,330,20.0,20.0,0.9795670995670995,0.9530483069181016,0.9448051948051948,0.8976897689768977,0.8343558282208589,0.9714285714285714,0.9181818181818182,0.05671268317069872,0.21313288373333386,0.07822604465546597,0.5036553281757346,road_distance_ablation
conventional_alphaearth_embeddings_no_road_distance,Conventional + AlphaEarth Embeddings (road-distance ablation),5,2742,2581,574,241,333,20.0,20.0,0.9698952064097293,0.9614757930284166,0.888589834647926,0.8679245283018868,0.7958477508650519,0.9543568464730291,0.8228228228228228,0.0706328827820321,0.25099679608777564,0.07089628359465101,0.31639528908086495,road_distance_ablation
