feature_set,model,curve,x,y,threshold
conventional_v3,stacked_l2_logistic,roc,0.00165929203539823,0.3083554376657825,0.9931712776711709
conventional_v3,stacked_l2_logistic,roc,0.00165929203539823,0.3096816976127321,0.9931685197522815
conventional_v3,stacked_l2_logistic,roc,0.00165929203539823,0.3183023872679045,0.9929903544637512
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.3183023872679045,0.9928887731009819
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.3229442970822281,0.9927693047184368
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.32427055702917773,0.9927628141934556
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.34814323607427056,0.9915509893894255
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.3494694960212202,0.9914466814987615
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.36007957559681697,0.9908741742346626
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.3614058355437666,0.9908315820162192
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.3779840848806366,0.9900110945263543
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.3793103448275862,0.9900064732942724
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309734,0.3852785145888594,0.9896101176148238
conventional_v3,stacked_l2_logistic,roc,0.0027654867256637168,0.3852785145888594,0.9895718395587338
conventional_v3,stacked_l2_logistic,roc,0.0027654867256637168,0.38726790450928383,0.9894744933231282
conventional_v3,stacked_l2_logistic,roc,0.0027654867256637168,0.3885941644562334,0.989461931793621
conventional_v3,stacked_l2_logistic,roc,0.0027654867256637168,0.39190981432360744,0.9891963232032492
conventional_v3,stacked_l2_logistic,roc,0.00331858407079646,0.39190981432360744,0.9890105427120546
conventional_v3,stacked_l2_logistic,roc,0.00331858407079646,0.39721485411140584,0.9886106038098148
conventional_v3,stacked_l2_logistic,roc,0.0038716814159292035,0.39721485411140584,0.988592627861744
conventional_v3,stacked_l2_logistic,roc,0.0038716814159292035,0.40583554376657827,0.9881903024313564
conventional_v3,stacked_l2_logistic,roc,0.004424778761061947,0.40583554376657827,0.9881313367492778
conventional_v3,stacked_l2_logistic,roc,0.004424778761061947,0.40649867374005305,0.9881310404448339
conventional_v3,stacked_l2_logistic,roc,0.00497787610619469,0.40649867374005305,0.9881254238664258
conventional_v3,stacked_l2_logistic,roc,0.00497787610619469,0.40716180371352784,0.9879635524853674
conventional_v3,stacked_l2_logistic,roc,0.00497787610619469,0.40848806366047746,0.9879520094180166
conventional_v3,stacked_l2_logistic,roc,0.00497787610619469,0.43103448275862066,0.9858456774980062
conventional_v3,stacked_l2_logistic,roc,0.00497787610619469,0.4323607427055703,0.9857503037114524
conventional_v3,stacked_l2_logistic,roc,0.00497787610619469,0.4436339522546419,0.9844891825066012
conventional_v3,stacked_l2_logistic,roc,0.00497787610619469,0.4449602122015915,0.9844598246492853
conventional_v3,stacked_l2_logistic,roc,0.0055309734513274336,0.4449602122015915,0.9843846592536901
conventional_v3,stacked_l2_logistic,roc,0.0055309734513274336,0.4469496021220159,0.9843309209013322
conventional_v3,stacked_l2_logistic,roc,0.006084070796460177,0.4469496021220159,0.9842719611446664
conventional_v3,stacked_l2_logistic,roc,0.006084070796460177,0.4535809018567639,0.9836951161951977
conventional_v3,stacked_l2_logistic,roc,0.006084070796460177,0.45490716180371354,0.983550669805093
conventional_v3,stacked_l2_logistic,roc,0.006084070796460177,0.45689655172413796,0.9834090649715249
conventional_v3,stacked_l2_logistic,roc,0.006084070796460177,0.4582228116710875,0.9833902652954818
conventional_v3,stacked_l2_logistic,roc,0.006084070796460177,0.4588859416445623,0.9833605576763343
conventional_v3,stacked_l2_logistic,roc,0.006084070796460177,0.46021220159151194,0.9833177262300231
conventional_v3,stacked_l2_logistic,roc,0.006084070796460177,0.46220159151193635,0.9828636517034841
conventional_v3,stacked_l2_logistic,roc,0.00663716814159292,0.46220159151193635,0.9827548003547167
conventional_v3,stacked_l2_logistic,roc,0.00663716814159292,0.46286472148541113,0.982516134361811
conventional_v3,stacked_l2_logistic,roc,0.007743362831858407,0.46286472148541113,0.9824725805219281
conventional_v3,stacked_l2_logistic,roc,0.007743362831858407,0.46419098143236076,0.9824005247727939
conventional_v3,stacked_l2_logistic,roc,0.007743362831858407,0.4661803713527852,0.9823154027602289
conventional_v3,stacked_l2_logistic,roc,0.007743362831858407,0.46750663129973474,0.9822559155118974
conventional_v3,stacked_l2_logistic,roc,0.007743362831858407,0.46816976127320953,0.9821562047229435
conventional_v3,stacked_l2_logistic,roc,0.008849557522123894,0.46816976127320953,0.9820906419611358
conventional_v3,stacked_l2_logistic,roc,0.008849557522123894,0.47413793103448276,0.9817385580871678
conventional_v3,stacked_l2_logistic,roc,0.008849557522123894,0.47546419098143233,0.9816406640321591
conventional_v3,stacked_l2_logistic,roc,0.008849557522123894,0.48010610079575594,0.9815110098443187
conventional_v3,stacked_l2_logistic,roc,0.009402654867256638,0.48010610079575594,0.9814856590303123
conventional_v3,stacked_l2_logistic,roc,0.009402654867256638,0.48408488063660476,0.9807015292423591
conventional_v3,stacked_l2_logistic,roc,0.00995575221238938,0.48408488063660476,0.9806650345419674
conventional_v3,stacked_l2_logistic,roc,0.00995575221238938,0.490053050397878,0.9792830793421977
conventional_v3,stacked_l2_logistic,roc,0.00995575221238938,0.49137931034482757,0.979111466756842
conventional_v3,stacked_l2_logistic,roc,0.00995575221238938,0.503315649867374,0.9776188748608639
conventional_v3,stacked_l2_logistic,roc,0.010508849557522125,0.503315649867374,0.9776156852554313
conventional_v3,stacked_l2_logistic,roc,0.010508849557522125,0.5053050397877984,0.9772744765708539
conventional_v3,stacked_l2_logistic,roc,0.010508849557522125,0.506631299734748,0.9772344007576554
conventional_v3,stacked_l2_logistic,roc,0.010508849557522125,0.513262599469496,0.9752569449432121
conventional_v3,stacked_l2_logistic,roc,0.010508849557522125,0.5145888594164456,0.9750823442259403
conventional_v3,stacked_l2_logistic,roc,0.010508849557522125,0.5218832891246684,0.9727616204325529
conventional_v3,stacked_l2_logistic,roc,0.010508849557522125,0.523209549071618,0.972736754673647
conventional_v3,stacked_l2_logistic,roc,0.010508849557522125,0.5344827586206896,0.9693312925063086
conventional_v3,stacked_l2_logistic,roc,0.011061946902654867,0.5344827586206896,0.9693099953048655
conventional_v3,stacked_l2_logistic,roc,0.011061946902654867,0.5464190981432361,0.9645482866731808
conventional_v3,stacked_l2_logistic,roc,0.011061946902654867,0.5477453580901857,0.9644943031841022
conventional_v3,stacked_l2_logistic,roc,0.011061946902654867,0.5537135278514589,0.9635247358353398
conventional_v3,stacked_l2_logistic,roc,0.011615044247787611,0.5537135278514589,0.9634137211837495
conventional_v3,stacked_l2_logistic,roc,0.011615044247787611,0.5543766578249337,0.9631525497753458
conventional_v3,stacked_l2_logistic,roc,0.012168141592920354,0.5543766578249337,0.9630597318248381
conventional_v3,stacked_l2_logistic,roc,0.012168141592920354,0.5557029177718833,0.9624698897452937
conventional_v3,stacked_l2_logistic,roc,0.012168141592920354,0.5576923076923077,0.9624618883853396
conventional_v3,stacked_l2_logistic,roc,0.012168141592920354,0.5583554376657824,0.9620884810098078
conventional_v3,stacked_l2_logistic,roc,0.012721238938053098,0.5583554376657824,0.9620836675825073
conventional_v3,stacked_l2_logistic,roc,0.012721238938053098,0.5596816976127321,0.9619337104289214
conventional_v3,stacked_l2_logistic,roc,0.012721238938053098,0.5610079575596817,0.961440012790714
conventional_v3,stacked_l2_logistic,roc,0.012721238938053098,0.5636604774535809,0.960529728663816
conventional_v3,stacked_l2_logistic,roc,0.014380530973451327,0.5636604774535809,0.9599528720493324
conventional_v3,stacked_l2_logistic,roc,0.014380530973451327,0.5669761273209549,0.9577568192726018
conventional_v3,stacked_l2_logistic,roc,0.014380530973451327,0.5683023872679045,0.9576662710552126
conventional_v3,stacked_l2_logistic,roc,0.014380530973451327,0.5702917771883289,0.9565568612508248
conventional_v3,stacked_l2_logistic,roc,0.014380530973451327,0.5716180371352785,0.9560713122143718
conventional_v3,stacked_l2_logistic,roc,0.014380530973451327,0.5775862068965517,0.9543522829327722
conventional_v3,stacked_l2_logistic,roc,0.014933628318584071,0.5775862068965517,0.9542871168787677
conventional_v3,stacked_l2_logistic,roc,0.014933628318584071,0.5789124668435013,0.9538599054732088
conventional_v3,stacked_l2_logistic,roc,0.014933628318584071,0.580238726790451,0.9525723674612504
conventional_v3,stacked_l2_logistic,roc,0.015486725663716814,0.580238726790451,0.9524869806612654
conventional_v3,stacked_l2_logistic,roc,0.015486725663716814,0.5815649867374005,0.9521583224328543
conventional_v3,stacked_l2_logistic,roc,0.016039823008849558,0.5815649867374005,0.951618983174731
conventional_v3,stacked_l2_logistic,roc,0.016039823008849558,0.5822281167108754,0.9512728411913842
conventional_v3,stacked_l2_logistic,roc,0.016592920353982302,0.5822281167108754,0.9510248502883153
conventional_v3,stacked_l2_logistic,roc,0.016592920353982302,0.5828912466843501,0.9504560813510222
conventional_v3,stacked_l2_logistic,roc,0.016592920353982302,0.5842175066312998,0.9504036736385245
conventional_v3,stacked_l2_logistic,roc,0.016592920353982302,0.5855437665782494,0.9496996286736129
conventional_v3,stacked_l2_logistic,roc,0.016592920353982302,0.5868700265251989,0.9491589696484684
conventional_v3,stacked_l2_logistic,roc,0.016592920353982302,0.5881962864721485,0.9487956144725291
conventional_v3,stacked_l2_logistic,roc,0.017146017699115043,0.5881962864721485,0.9476337806669282
conventional_v3,stacked_l2_logistic,roc,0.017146017699115043,0.593501326259947,0.9460839376532708
conventional_v3,stacked_l2_logistic,roc,0.017699115044247787,0.593501326259947,0.9458709872211365
conventional_v3,stacked_l2_logistic,roc,0.017699115044247787,0.5981432360742706,0.9436835887388516
