feature_set,feature_set_name,model,model_name,fold,n_train,n_test,n_test_pos,n_test_neg,roc_auc,pr_auc,balanced_accuracy,f1,brier,threshold
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,random_forest,Random Forest,1,2592,724,399,325,0.9678658183921341,0.9693501970226417,0.9185347985347985,0.9232736572890026,0.08388565750289839,0.5117932485432155
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,random_forest,Random Forest,2,2411,905,532,373,0.966467778024149,0.9679918452703897,0.897740329375718,0.9020771513353115,0.08207135201713628,0.5523926731181943
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,random_forest,Random Forest,3,2673,643,196,447,0.9386841985116194,0.8786636354453549,0.808319636579464,0.7537091988130564,0.098567122220965,0.5072362437600161
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,random_forest,Random Forest,4,2846,470,140,330,0.9833549783549783,0.9610248227625203,0.9395021645021644,0.911660777385159,0.05747084572253681,0.5263134988046938
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,random_forest,Random Forest,5,2742,574,241,333,0.9820816667289697,0.9721124175470589,0.9248190098812505,0.9157667386609071,0.06280930539025517,0.5582625270772656
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,extra_trees,Extra Trees,1,2592,724,399,325,0.9633391170233276,0.9680110886618115,0.81475997686524,0.781437125748503,0.09965079441649569,0.6306041181446433
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,extra_trees,Extra Trees,2,2411,905,532,373,0.9659134431252394,0.9661695191248019,0.8393159507347456,0.8220064724919094,0.09076879441160782,0.624217060197299
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,extra_trees,Extra Trees,3,2673,643,196,447,0.9339245765420262,0.8743480528009758,0.7609688170570241,0.6813880126182965,0.10303753556118096,0.565085961592261
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,extra_trees,Extra Trees,4,2846,470,140,330,0.9854761904761905,0.9644519135211268,0.9235930735930735,0.9037037037037037,0.0602064965071136,0.5893173896166458
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,extra_trees,Extra Trees,5,2742,574,241,333,0.9799010628886148,0.9671729212544601,0.8946269921373655,0.8808988764044944,0.07229218878252901,0.5798030277146825
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,xgboost,XGBoost,1,2592,724,399,325,0.9706111432427222,0.9740122992212582,0.9062887989203778,0.9090909090909091,0.06640433152183974,0.5428587198257446
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,xgboost,XGBoost,2,2411,905,532,373,0.9763853333064565,0.9816531945781873,0.9322527162410046,0.9421800947867298,0.057690612576002276,0.43955549597740173
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,xgboost,XGBoost,3,2673,643,196,447,0.9450531890608593,0.897028864289943,0.8057686161713007,0.75,0.10185990755775769,0.4774150252342224
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,xgboost,XGBoost,4,2846,470,140,330,0.9884632034632035,0.9736120687447641,0.9492424242424242,0.9172413793103448,0.0370213728180006,0.48637765645980835
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,xgboost,XGBoost,5,2742,574,241,333,0.9825676298705344,0.9747843770462622,0.9389867045468705,0.9305263157894736,0.04561327665829221,0.5233160257339478
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,lightgbm,LightGBM,1,2592,724,399,325,0.9715673799884327,0.9748394437119869,0.8328744939271255,0.8053097345132744,0.06319105595579282,0.9327556935908912
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,lightgbm,LightGBM,2,2411,905,532,373,0.9753824910802475,0.9802794492054667,0.84951571287468,0.8338692390139335,0.06098026892708866,0.9298821540353147
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,lightgbm,LightGBM,3,2673,643,196,447,0.9395516595900105,0.8883946907539263,0.6697997991142766,0.5075757575757576,0.11521241938361874,0.91306492428359
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,lightgbm,LightGBM,4,2846,470,140,330,0.9874242424242425,0.9710902399809187,0.895995670995671,0.875968992248062,0.04108809028737144,0.907363642702045
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,lightgbm,LightGBM,5,2742,574,241,333,0.9804867107771673,0.9725634228794527,0.8593572825937972,0.8364485981308412,0.04917698066390305,0.9330803498081975
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,catboost,CatBoost,1,2592,724,399,325,0.9700096394833236,0.9731607998773462,0.910221708116445,0.910761154855643,0.06691141168799675,0.5781392274773235
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,catboost,CatBoost,2,2411,905,532,373,0.9773982543490093,0.9831492708025753,0.9151817210586788,0.9182266009852217,0.0559323015699605,0.6754525233922892
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,catboost,CatBoost,3,2673,643,196,447,0.939323380358855,0.885810587014118,0.7765888234488427,0.7055214723926381,0.1071979284964621,0.47933992253719115
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,catboost,CatBoost,4,2846,470,140,330,0.9885281385281386,0.9752654261027971,0.9532467532467532,0.9295774647887324,0.03634176888530845,0.5402544466059621
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,catboost,CatBoost,5,2742,574,241,333,0.9827545387711363,0.9754628875388173,0.945210770936912,0.9372384937238494,0.045480968609432265,0.5370179195837808
conventional_v3,Conventional v3,stacked_l2_logistic,Spatial-CV Stacked Ensemble,1,2592,724,399,325,0.9515172546751495,0.9591236726102408,0.8747252747252747,0.8814432989690721,0.09163308710244233,0.434675349273553
conventional_v3,Conventional v3,stacked_l2_logistic,Spatial-CV Stacked Ensemble,2,2411,905,532,373,0.9704791469289847,0.976884694891277,0.9106815295611683,0.9307479224376731,0.058971517605773564,0.47738529232855037
conventional_v3,Conventional v3,stacked_l2_logistic,Spatial-CV Stacked Ensemble,3,2673,643,196,447,0.938398849472675,0.8921057100429942,0.858535360452906,0.8199445983379502,0.08600822583057006,0.4225347772618558
conventional_v3,Conventional v3,stacked_l2_logistic,Spatial-CV Stacked Ensemble,4,2846,470,140,330,0.9672294372294372,0.9283845801633454,0.9137445887445887,0.86,0.07574492261863747,0.41051790409777367
conventional_v3,Conventional v3,stacked_l2_logistic,Spatial-CV Stacked Ensemble,5,2742,574,241,333,0.9796020086476518,0.9702670596385411,0.9158349220589885,0.8978805394990366,0.06051488850028344,0.3374767732931807
alphaearth_embeddings,AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,1,2592,724,399,325,0.9527048390206285,0.9593046631308009,0.8773934837092732,0.8946078431372549,0.08551990217332456,0.4827993817195395
alphaearth_embeddings,AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,2,2411,905,532,373,0.9545344594730795,0.9599308313069277,0.8889415227075732,0.9104477611940298,0.07805837979129324,0.5151568817526883
alphaearth_embeddings,AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,3,2673,643,196,447,0.9084143724603936,0.8183889476018998,0.8144603478975483,0.7447916666666666,0.1138981234151791,0.3916740369108575
alphaearth_embeddings,AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,4,2846,470,140,330,0.9751515151515151,0.9279401167643128,0.9111471861471861,0.8610169491525423,0.06210425879933233,0.5330654831633116
alphaearth_embeddings,AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,5,2742,574,241,333,0.9621820991115597,0.9432913259202353,0.9036609223331216,0.8875255623721882,0.07194537881695087,0.5133815883688531
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,1,2592,724,399,325,0.971497975708502,0.9752566631473376,0.9182995951417003,0.9298892988929889,0.059828846011948426,0.4262515094428961
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,2,2411,905,532,373,0.972983732790421,0.9733357047253626,0.9311894011167328,0.9437148217636022,0.052768602537825095,0.5717007121104878
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,3,2673,643,196,447,0.9422225265945304,0.8899762352858449,0.8169143496324704,0.7621776504297995,0.10412816355536893,0.3396587498057821
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,4,2846,470,140,330,0.9881168831168832,0.9716692608422514,0.952922077922078,0.9102990033222591,0.04200015777227181,0.35371101918459846
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,5,2742,574,241,333,0.9842248887892041,0.9738336660019984,0.9505875169775584,0.9383697813121272,0.04256767264124224,0.3676846283423986
